1/3	195,840	[5, 9, 17, 256]	4
1/3	196,560	[5, 7, 52, 108]	4
1/3	196,560	[5, 7, 54, 104]	4
1/3	201,600	[6, 8, 14, 15, 20]	5
1/3	201,600	[6, 10, 14, 15, 16]	5
1/3	210,600	[6, 9, 13, 15, 20]	5
1/3	212,520	[4, 10, 23, 231]	4
1/3	212,520	[4, 15, 23, 154]	4
1/3	212,520	[5, 8, 23, 231]	4
1/3	221,760	[8, 10, 11, 12, 21]	5
1/3	223,080	[4, 11, 65, 78]	4
1/3	224,640	[9, 10, 12, 13, 16]	5
1/3	226,800	[7, 10, 12, 15, 18]	5
1/3	226,800	[8, 9, 10, 15, 21]	5
1/3	231,000	[4, 11, 50, 105]	4
1/3	231,000	[4, 11, 70, 75]	4
1/3	231,660	[4, 13, 33, 135]	4
1/3	237,600	[8, 10, 11, 15, 18]	5
1/3	237,600	[9, 10, 11, 15, 16]	5
1/3	241,920	[7, 10, 12, 16, 18]	5
1/3	242,880	[8, 10, 11, 12, 23]	5
1/3	244,200	[4, 11, 50, 111]	4
1/3	244,200	[4, 11, 74, 75]	4
1/3	247,104	[8, 9, 12, 13, 22]	5
1/3	249,480	[4, 11, 63, 90]	4
1/3	249,480	[9, 10, 11, 12, 21]	5
1/3	251,100	[6, 9, 10, 15, 31]	5
1/3	254,016	[6, 8, 9, 21, 28]	5
1/3	257,400	[4, 11, 65, 90]	4
1/3	258,720	[8, 10, 11, 14, 21]	5
1/3	265,320	[4, 11, 67, 90]	4
1/3	266,112	[7, 8, 12, 18, 22]	5
1/3	267,840	[8, 9, 10, 12, 31]	5
1/3	277,200	[8, 10, 11, 15, 21]	5
1/3	280,800	[8, 9, 13, 15, 20]	5
1/3	282,240	[6, 8, 10, 21, 28]	5
1/3	286,440	[4, 11, 42, 155]	4
1/3	291,060	[4, 11, 63, 105]	4
1/3	291,060	[6, 11, 14, 15, 21]	5
1/3	291,060	[9, 10, 11, 14, 21]	5
1/3	302,400	[6, 9, 14, 16, 25]	5
1/3	302,400	[7, 10, 15, 16, 18]	5
1/3	303,600	[8, 10, 11, 15, 23]	5
1/3	316,800	[6, 11, 15, 16, 20]	5
1/3	325,080	[5, 7, 43, 216]	4
1/3	332,640	[7, 11, 12, 18, 20]	5
1/3	332,640	[8, 10, 11, 18, 21]	5
1/3	334,620	[4, 11, 65, 117]	4
1/3	334,800	[8, 9, 10, 15, 31]	5
1/3	340,200	[7, 10, 12, 15, 27]	5
1/3	348,480	[6, 8, 10, 22, 33]	5
1/3	350,784	[7, 8, 12, 18, 29]	5
1/3	352,800	[6, 8, 10, 21, 35]	5
1/3	364,320	[8, 10, 11, 18, 23]	5
1/3	374,220	[4, 11, 63, 135]	4
1/3	381,480	[4, 11, 34, 255]	4
1/3	381,480	[4, 11, 51, 170]	4
1/3	385,560	[7, 9, 12, 15, 34]	5
1/3	386,100	[4, 11, 65, 135]	4
1/3	388,080	[6, 11, 14, 20, 21]	5
1/3	389,760	[6, 8, 10, 28, 29]	5
1/3	396,000	[6, 11, 15, 16, 25]	5
1/3	397,980	[4, 11, 67, 135]	4
1/3	409,248	[6, 8, 14, 21, 29]	5
1/3	413,280	[5, 7, 41, 288]	4
1/3	415,800	[7, 11, 15, 18, 20]	5
1/3	425,040	[8, 11, 14, 15, 23]	5
1/3	429,660	[4, 11, 63, 155]	4
1/3	438,048	[6, 8, 9, 26, 39]	5
1/3	443,520	[7, 11, 16, 18, 20]	5
1/3	444,528	[6, 8, 9, 21, 49]	5
1/3	453,600	[6, 8, 10, 21, 45]	5
1/3	455,400	[6, 11, 15, 20, 23]	5
1/3	475,200	[6, 8, 9, 20, 55]	5
1/3	485,100	[6, 10, 11, 21, 35]	5
1/3	485,760	[6, 11, 16, 20, 23]	5
1/3	491,400	[8, 9, 13, 15, 35]	5
1/3	498,960	[7, 10, 12, 22, 27]	5
1/3	498,960	[7, 11, 12, 20, 27]	5
